,연도,local_id,인구당 주거용 전력소비량,인구당 업무용 전력소비량,인구당 산업용 전력소비량,인구당 전체 전력소비량
93,2020,26,1.418728769023703,3.584453401665644,24.184585265889506,29.187767436578856
94,2021,26,1.4610749720040799,3.569069679526958,24.921183460652358,29.951328112183397
95,2022,26,1.4839424739997642,3.620801269151849,24.534444741564272,29.639188484715884
80,2015,29,1.2932417822120217,3.6330447070427345,7.597826293127976,12.524112782382732
81,2016,29,1.3707086666008361,3.5609180079655047,6.596392482143445,11.528019156709785
82,2017,29,1.374162799000357,3.3741485183862907,5.672117101035345,10.420428418421992
83,2018,29,1.4978989322755836,3.2824089696491217,5.049152251007557,9.829460152932263
84,2019,29,1.4907347867576892,3.2189679218967924,4.763033105776994,9.472735814431477
85,2020,29,1.5709423855706781,3.184657885344447,4.780471628385385,9.536071899300511
86,2021,29,1.645924252813294,5.009908710792025,4.894096451955525,11.549929415560843
87,2022,29,1.6826385394860672,1.7204131483793936,4.892450552802334,8.295502240667794
0,2015,31,1.2463163018943502,2.8688962185666464,4.2734569785234795,8.388669498984477
3,2016,31,1.2826388441099084,2.95329344378058,4.367181000221755,8.603113288112242
6,2017,31,1.2884764090432617,3.026917106283685,4.60559426653705,8.920987781863996
9,2018,31,1.3777056825747929,3.164862718972547,4.839898409080325,9.382466810627665
12,2019,31,1.3768092034950126,3.129113302405061,4.786026777412663,9.291949283312736
15,2020,31,1.4439212620170054,3.1245494344461098,4.717954639803012,9.286425336266127
18,2021,31,1.53148292168708,3.1875791809339167,5.118130766026929,9.837192868647925
21,2022,31,1.554748572272925,3.4360870270368915,5.350362693598967,10.341198292908784
23,2015,32,1.2187321515811158,4.625862290393009,4.614615487377598,10.459209929351722
2,2016,32,1.2434579180116663,4.84799839567296,4.5473785889402025,10.63883490262483
5,2017,32,1.2521001301816221,4.905466724983905,4.520690362560333,10.67825721772586
8,2018,32,1.3353814388627214,5.1435382605382065,4.438298255664748,10.917217955065675
11,2019,32,1.350041063845522,5.015457651044241,4.252893606365739,10.618392321255502
14,2020,32,1.4240660081408312,4.900651396126624,4.123590262114024,10.448307666381478
17,2021,32,1.4882878818999383,5.120095522108662,4.316603531250081,10.924986935258682
20,2022,32,1.5178958905250772,5.329474558378859,4.428608432942965,11.275978881846902
48,2015,33,1.2249790397688818,3.579751154075376,9.683733471721366,14.488463665565623
49,2016,33,1.263598523521558,3.6799855493599307,10.140913217623497,15.084497290504988
50,2017,33,1.2714753592501906,3.808113484927548,10.501818202344158,15.581407046521896
51,2018,33,1.3660636347492452,3.9844070853123834,11.057133584950964,16.407604305012594
52,2019,33,1.3623896645452176,3.95086583996195,11.39435952467708,16.707615029184247
53,2020,33,1.4316823011961868,4.046867357513601,11.326342407128271,16.804892065838057
54,2021,33,1.493418478590884,4.210352648352632,12.076109894223649,17.779881021167164
55,2022,33,1.5264096979545572,4.406009687422025,12.50717528766979,18.439594673046372
31,2015,34,1.2079961533444774,3.735142942816616,17.816268773021815,22.75940786918291
24,2016,34,1.253967254678363,3.926457283184697,17.928893938028175,23.109318475891236
25,2017,34,1.2716653202757031,3.89936176344147,18.535000968456657,23.70602805217383
26,2018,34,1.362923168234505,4.008765535333507,19.09012163015066,24.46181033371867
27,2019,34,1.3594758038883858,4.000937039867515,19.428695268513717,24.78910811226962
28,2020,34,1.4325815441467324,4.0216319531699005,18.318554814667785,23.772768311984418
29,2021,34,1.502750728203328,3.9412817794160877,17.583672485215338,23.027704992834753
30,2022,34,1.5310807112640994,4.198298475250313,17.944082462999937,23.67346164951435
